kiosk_id,store_id,sale_date,order_total,items_sold
1,1,2022-06-01,167.23,48
1,1,2022-06-02,214.57,55
1,1,2022-06-03,78.23,22
1,1,2022-06-04,68.96,14
1,1,2022-06-05,143.71,42
1,1,2022-06-06,114.84,35
1,1,2022-06-07,48.85,13
1,1,2022-06-08,189.41,40
1,1,2022-06-09,159.4,43
1,1,2022-06-10,244.43,49
1,1,2022-06-11,127.91,34
1,1,2022-06-12,175.92,45
1,1,2022-06-13,41.08,8
1,1,2022-06-14,89.64,18
1,1,2022-06-15,113.35,29
1,1,2022-06-16,118.46,21
1,1,2022-06-17,100.36,29
1,1,2022-06-18,110.29,32
1,1,2022-06-19,142.19,30
1,1,2022-06-20,50.61,10
1,1,2022-06-21,147.77,42
